timestamp,left_eye_gaze_position_x,left_eye_gaze_position_y,left_eye_pupil_diameter_mm,left_eye_pupil_position_x,left_eye_pupil_position_y,left_eye_pupil_position_z,left_eye_visual_angle_theta,left_eye_visual_angle_phi,left_eye_visual_angle_vector_x,left_eye_visual_angle_vector_y,left_eye_visual_angle_vector_z,left_eye_pixels_per_degree_x,left_eye_pixels_per_degree_y,left_eye_valid,right_eye_gaze_position_x,right_eye_gaze_position_y,right_eye_pupil_diameter_mm,right_eye_pupil_position_x,right_eye_pupil_position_y,right_eye_pupil_position_z,right_eye_visual_angle_theta,right_eye_visual_angle_phi,right_eye_visual_angle_vector_x,right_eye_visual_angle_vector_y,right_eye_visual_angle_vector_z,right_eye_pixels_per_degree_x,right_eye_pixels_per_degree_y,right_eye_valid,bino_eye_gaze_position_x,bino_eye_gaze_position_y,bino_eye_valid,trigger
1713560404366800,499.512,185.35,3.9516,119.312,94.2202,-566.996,-3.01964,-6.16542,-0.0523736,-0.107399,0.992836,59.19,59.19,1,546.824,231.822,4.1059,184.582,93.13,-566.213,-8.675,-5.17832,-0.150214,-0.0902557,0.984525,59.19,59.19,1,509.09,180.502,1,0
1713560409360500,499.689,185.294,3.93467,119.318,94.2083,-566.986,-3.01964,-6.16542,-0.0523736,-0.107399,0.992836,59.1864,59.1864,1,546.896,231.829,4.10306,184.594,93.1391,-566.145,-8.675,-5.17832,-0.150214,-0.0902557,0.984525,59.1864,59.1864,1,509.22,180.481,1,0
1713560414361400,499.776,185.136,3.94975,119.347,94.2089,-566.914,-3.01964,-6.16542,-0.0523736,-0.107399,0.992836,59.1794,59.1794,1,546.928,231.615,4.12935,184.615,93.1503,-566.072,-8.675,-5.17832,-0.150214,-0.0902557,0.984525,59.1794,59.1794,1,509.273,180.272,1,0
1713560419436100,499.794,185.02,3.96792,119.347,94.1897,-566.929,-3.01964,-6.16542,-0.0523736,-0.107399,0.992836,59.1827,59.1827,1,547.069,231.797,4.081,184.62,93.1412,-566.119,-8.675,-5.17832,-0.150214,-0.0902557,0.984525,59.1827,59.1827,1,509.359,180.314,1,0
1713560424426700,499.794,185.02,3.96792,119.347,94.1897,-566.929,-3.01964,-6.16542,-0.0523736,-0.107399,0.992836,59.1827,59.1827,1,547.069,231.797,4.081,184.62,93.1412,-566.119,-8.675,-5.17832,-0.150214,-0.0902557,0.984525,59.1827,59.1827,1,509.359,180.314,1,0
1713560429369000,499.92,185.269,3.95232,119.356,94.1903,-566.884,-3.01964,-6.16542,-0.0523736,-0.107399,0.992836,59.1814,59.1814,1,547.013,231.611,4.08927,184.627,93.1291,-566.134,-8.675,-5.1775,-0.150214,-0.0902415,0.984526,59.1814,59.1814,1,509.398,180.352,1,0
1713560434372800,499.917,185.168,3.94584,119.364,94.1621,-566.87,-3.01964,-6.16542,-0.0523736,-0.107399,0.992836,59.1791,59.1791,1,547.084,231.753,4.11746,184.635,93.1357,-566.092,-8.675,-5.1775,-0.150214,-0.0902415,0.984526,59.1791,59.1791,1,509.435,180.377,1,0
1713560439370300,499.917,185.168,3.94584,119.364,94.1621,-566.87,-3.01964,-6.16542,-0.0523736,-0.107399,0.992836,59.1791,59.1791,1,547.084,231.753,4.11746,184.635,93.1357,-566.092,-8.675,-5.1775,-0.150214,-0.0902415,0.984526,59.1791,59.1791,1,509.435,180.377,1,0
1713560444404300,499.913,188.169,3.96575,119.36,94.162,-566.843,-3.01964,-6.10974,-0.0523791,-0.106433,0.992939,59.178,59.178,1,547.064,237.472,4.12541,184.63,93.1286,-566.094,-8.675,-5.07427,-0.150238,-0.0884471,0.984685,59.178,59.178,1,509.666,185.361,1,0
1713560449402300,499.917,187.99,3.95026,119.364,94.1313,-566.852,-3.01964,-6.10974,-0.0523791,-0.106433,0.992939,59.1838,59.1838,1,547.035,237.314,4.08914,184.63,93.0828,-566.189,-8.675,-5.07427,-0.150238,-0.0884471,0.984685,59.1838,59.1838,1,509.644,185.168,1,0
